file_name,caption
0603205238985_63_f02af86ef55229b471c1d1253058b510.jpg,"a trtcrd of a woman wearing a crown sitting on an adorned chair, holding a sword, ""queen of swords"""
0603205238985_61_cb93169c7f120640584c2b00883308ae.jpg,"a trtcrd of a young delicate woman holding a sword, ""page of swords"""
0603205238985_64_eb7c6746fbeb4552de04798d005a36f0.jpg,"a trtcrd of a man wearing a crown sitting on a chair, holding a sword, ""king of swords"""
0603205238985_60_484c1e947ec887147750d73bebcc445f.jpg,a trtcrd of a man laying down with swords piercing his back
0603205238985_62_4fa0a11fd5c5a00edcf37ac3f74d2368.jpg,"a trtcrd of a knight mounting a running horse wearing an armor and holding a sword, ""knight of swords"""
0603205238985_58_d2627b0bdaf92ca202b9d578f52be080.jpg,"a trtcrd of a woman blindfolded and bound, surrounded by swords stuck in the ground"
0603205238985_56_2c025245d18e13aa89bce15bdb949e6a.jpg,a trtcrd of a woman on her back rowing a boat with swords pierced into it
0603205238985_55_9678e102349090196462da7b876869f2.jpg,"a trtcrd of a person holding two swords, picking up one more"
0603205238985_59_8c86e6bbff27661032b574a00b564182.jpg,"a trtcrd of a person sitting in bed, crying. there are swords on the wall"
0603205238985_57_6d88d900c18809aaa1556f523d86edce.jpg,"a trtcrd of a person holding many swords while walking, smirking"
0603205238985_54_2d0e5181347701959cca210db239487b.jpg,"a trtcrd of a person laying down on bed, sleeping. the bad and wall have drawn swords"
0603205238985_52_dc83a5e1ab8670b65fa0936705cb3cc5.jpg,a trtcrd of a blindfolded woman with her hands crossed holding a sword on each hand
0603205238985_53_12af23e32d659ec73b276020ddf64c56.jpg,"a trtcrd of a heart pierced by 3 swords, rainy clouds on the background"
0603205238985_51_9f25eaa7c24df141d7c46e7a7249540f.jpg,"a trtcrd of a hand holding a sword. there's a crown on top of the sword, ""ace of swords"""
0603205238985_49_a2c774c05026e44ef20f7f62fe54326c.jpg,"a trtcrd of a woman sitting on a throne, wearing a crown and holding a trophee, ""queen of cups"""
0603205238985_50_063fba44f1a033a2093808ef2a485070.jpg,"a trtcrd of a man sitting on a throne, wearing a crown and holding a golden cup, ""king of cups"""
0603205238985_46_d684f3dfaea4ff1f3dd4a3a5bb8e77fa.jpg,"a trtcrd of a couple hugging and children celebrating, peaceful bucolic background, looking at a rainbow composed of multiple golden cups"
0603205238985_47_b883905ee3aebd3ca64c142c64972734.jpg,a trtcrd of a person wearing a funny dress and a funky hat holding a gold cup with a fish inside of it
0603205238985_42_b90e636ae4a7bfb9be97780bf285cf4f.jpg,"a trtcrd of a child handing a cup to an old lady, there's a flower inside the cup"
0603205238985_48_2ed9176076924d8f685406e304a2eeed.jpg,a trtcrd of a knight holding the cup while mounts on a stationary horse
0603205238985_45_d6c490c86d283bde215abad952b920f6.jpg,"a trtcrd of a person sitting on a chair wearing a white dress and crossed arms, there's multiple golden cups on a table above him"
0603205238985_44_2699f4553247ad8fd0b10062199d6173.jpg,"a trtcrd of a couple golden cups stacked on top of each other, a person is hiking fading into distance in the background, the moon has a serene face"
0603205238985_43_88df5949ec785c0a52e205e8c38eec31.jpg,a trtcrd of a shadow of a person looking at multiple golden cups each with a different object inside
0603205238985_39_c50a4a2b55cdd14c62afa7bb3a8a2fcf.jpg,a trtcrd of a group of people cheering on golden cups
0603205238985_41_dbd7e4f939f2bbf0be8f4747f85a696c.jpg,"a trtcrd of a person wearing a black overall, looking down, gold cups are lying on the ground"
0603205238985_37_4f17a5163b978034a5b8a841b121443f.jpg,"a trtcrd of a hand holding a golden cup, from the cup water comes out as if it's a fountain, a dove holds a crux on top of it, ""ace of cups"""
0603205238985_40_c5bee31e1c8097c9d27b0b3851976433.jpg,"a trtcrd of a person sitting by a tree with crossed arms and closed eyes, medidating. a mysterious hand offers them a golden cup. there are three golden cups lying on the grass"
0603205238985_38_5da1301e81586bcf8c47b1d94ba468a2.jpg,"a trtcrd of two people holding golden cups together, a winged creature wtih a lion face above them"
0603205238985_33_ac2ff146e881ad7299d39cd40120a7dd.jpg,"a trtcrd of a young person wearing a hat with a feather, holding a tall staff with leaves. they are wearing ornate clothing and standing on a red ground with mountains in the background, ""page of wands"""
0603205238985_36_678c7a520dc6d9f72b26966f477092dc.jpg,"a trtcrd of a man wearing a crown sitting on an ornate throne, holding a tall staff. he is wearing elaborate robes in red and yellow. behind him is a decorative yellow panel with black animal figures. at his feet is a small lizard-like creature. ""king of wands"""
0603205238985_32_67f868802676ebce90a210d956fc0294.jpg,a trtcrd of a person wearing a red tunic carrying a bundle of ten tall staffs. they are bending forward under the weight. in the background there is a small village.
0603205238985_35_b1a791a787875aede882b7448a94a834.jpg,"a trtcrd of a woman wearing a crown sitting on a throne, holding a tall staff. she is wearing a yellow robe with a white cape. there are lion heads on the armrests of her throne. a black cat sits at her feet. behind her is a red tapestry with flower designs. a sunflower is visible to her right. ""queen of wands"""
0603205238985_31_f88b72539a9a9779f8cf313cb566767c.jpg,"a trtcrd of a person wearing a red tunic standing among nine tall staffs. they appear to be in a defensive posture, looking suspicious, holding one of the staffs. the background shows a hilly landscape"
0603205238985_29_1b6a140aedd216e64a674cf9a6c41b58.jpg,a trtcrd of a person wearing a yellow tunic and red leggings holding a large staff with leaves. six other staffs are planted in the ground around them. the person has a determined expression. the background is pale green
0603205238985_34_06fe5991a12a0e820ca8447aa7af002f.jpg,"a trtcrd of a knight mounting a running horse wearing an armor and holding a staff, ""knight of wands"""
0603205238985_30_04e181abfa90d0f747c0497fe350d59b.jpg,"a trtcrd of light red staffs or wands arranged diagonally across a pale green background. The staffs have small leaf-like shapes at their ends. At the bottom, a simple landscape with hills or mountains"
0603205238985_28_a14a3ab44e937ba0de149408c8480729.jpg,"a trtcrd of a knight mounting a white horse wearing a red cape and holding a tall staff, surrounded by five other tall staffs"
0603205238985_26_bd3ba5d3b1f11bc058249188d3a71a65.jpg,"a trtcrd of a couple hugging and children celebrating, peaceful bucolic background, looking at a rainbow composed of multiple golden cups"
0603205238985_27_6a8a0ca314e8ac55dd143a9c4042f2df.jpg,"a trtcrd of five people each holding a tall staff, some of them are facing each other, conflict"
0603205238985_21_696ecb953297e3192d5f2c898e16b131.jpg,"a trtcrd of an angel with red wings blowing a trumpet, below are people rising from their graves with arms raised, ""judgement"""
0603205238985_22_cb000efb9912b049b4ac4b2f450880b2.jpg,"a trtcrd of a nude woman wrapped in a purple cloth holding two wands, surrounded by a green wreath, with the four symbols of the evangelists in the corners, ""the world"""
0603205238985_25_f81b98bea89c8cba692948138ebd82df.jpg,"a trtcrd of a person wearing a red and green robe, standing turned on their back, holding one of three tall staffs planted in the ground, looking out over a distant landscape"
0603205238985_24_573cb51379511fac771ec62bf35de19a.jpg,"a trtcrd of a person wearing a red robe and hat, standing between two tall staffs, holding a globe in their hand, looking out over a landscape with water and mountains"
0603205238985_23_22ed1687f1e202dc482890610651359b.jpg,"a trtcrd of a hand emerging from a cloud, holding a tall staff with leaves sprouting from it, a distant mountain and landscape in the background, ""ace of wands"""
0603205238985_16_3f282861b00f9fe6246cd8079fa7979e.jpg,"a trtcrd of a horned figure with bat wings and an inverted pentagram on its forehead, sitting on a pedestal with a male and female figure chained below, ""the devil"""
0603205238985_19_268a5422bfd02678fbae1d39b384078c.jpg,"a trtcrd of a large moon with a serene face in the sky, below are a dog and a wolf howling at the moon, with a crayfish emerging from a body of water, two towers in the background, ""the moon"""
0603205238985_18_6fbc854cb785a8cee939e015aa27dbf5.jpg,"a trtcrd of a nude woman kneeling by a pool of water, pouring water from two jugs, surrounded by eight stars, with a bird in a tree in the background, ""the star"""
